"","Participant","products","ratings"
"1","1","ProductA",6.07483846667766
"2","1","ProductB",7.35009926024645
"3","1","ProductC",5.39498540610262
"4","2","ProductA",6.83455057783946
"5","2","ProductB",7.3301709966579
"6","2","ProductC",3.76184288937711
"7","3","ProductA",5.99158770451704
"8","3","ProductB",5.67496774079064
"9","3","ProductC",5.38279160116236
"10","4","ProductA",7.09547521154075
"11","4","ProductB",6.2748420128674
"12","4","ProductC",4.99269943114501
"13","5","ProductA",6.41179569072921
"14","5","ProductB",7.51496349114355
"15","5","ProductC",4.91867714437703
"16","6","ProductA",5.19843759754731
"17","6","ProductB",6.89902286346537
"18","6","ProductC",5.28127678611287
"19","7","ProductA",6.50247446065782
"20","7","ProductB",7.32624067466831
"21","7","ProductC",4.05520046788387
"22","8","ProductA",6.67122726150849
"23","8","ProductB",8.05431363552673
"24","8","ProductC",4.56356261259567
"25","9","ProductA",5.11273749674669
"26","9","ProductB",5.93400565093767
"27","9","ProductC",6.017239550861
"28","10","ProductA",4.72089374979698
"29","10","ProductB",5.45102001838717
"30","10","ProductC",5.16383411222623
"31","11","ProductA",5.53398872007983
"32","11","ProductB",5.44758197546465
"33","11","ProductC",4.82745153778493
"34","12","ProductA",5.80691883370314
"35","12","ProductB",8.03771757178329
"36","12","ProductC",5.45513734239779
"37","13","ProductA",4.40047985949837
"38","13","ProductB",6.59961749715113
"39","13","ProductC",4.59061261642584
"40","14","ProductA",5.73424316626017
"41","14","ProductB",7.29355502657405
"42","14","ProductC",4.99796263750873
"43","15","ProductA",5.32553249191356
"44","15","ProductB",7.47003850431101
"45","15","ProductC",5.52752629275793
"46","16","ProductA",7.1616936961225
"47","16","ProductB",6.67751682999074
"48","16","ProductC",5.14828837704184
"49","17","ProductA",4.76050002499584
"50","17","ProductB",7.53355785698396
"51","17","ProductC",4.61410786562344
"52","18","ProductA",6.43956623134433
"53","18","ProductB",5.44070397516351
"54","18","ProductC",4.4977111741977
"55","19","ProductA",5.83587633144295
"56","19","ProductB",6.18687702376204
"57","19","ProductC",4.34460570670485
"58","20","ProductA",7.24235964786848
"59","20","ProductB",7.2343993890905
"60","20","ProductC",4.3612978736146
"61","21","ProductA",5.91830683199857
"62","21","ProductB",8.7336935149592
"63","21","ProductC",4.56315401671065
"64","22","ProductA",5.14544882534643
"65","22","ProductB",7.46536445632966
"66","22","ProductC",5.01088004032179
"67","23","ProductA",5.05639890104323
"68","23","ProductB",5.42357889973527
"69","23","ProductC",5.74410481664832
"70","24","ProductA",7.16230453954093
"71","24","ProductB",7.38505730442314
"72","24","ProductC",6.23939806867676
"73","25","ProductA",4.84327770162562
"74","25","ProductB",6.07485397482642
"75","25","ProductC",4.32852203367405
"76","26","ProductA",4.61803130941651
"77","26","ProductB",6.59957899123513
"78","26","ProductC",4.05971845374222
"79","27","ProductA",6.53325405140053
"80","27","ProductB",6.47297867978406
"81","27","ProductC",4.25854607509888
"82","28","ProductA",6.69629457438636
"83","28","ProductB",7.44789631757051
"84","28","ProductC",5.50440855312864
"85","29","ProductA",6.79722764427546
"86","29","ProductB",7.49983888477043
"87","29","ProductC",4.63472785574407
"88","30","ProductA",7.0598790434115
"89","30","ProductB",5.29588317392683
"90","30","ProductC",6.10169064502144
